"","caption","photo_id","business_id","label"
"137964","","O_wtMOKtGmEOqRJYFsbPLg","e_ILiIs2pVpskfeL-zFtTw","inside"
"170599","","1AEAqXRAZYKTDl1DrKX7RQ","mDA6_CDxdyQ-_qO5RHloow","inside"
"41760","Inside Los Dos Molinos","RLKQkwtFIw3_-IpAPjaeDA","46hnat0aLao-qYWZkN9aBg","inside"
"4489","","MVWCsCbGMsv5aKhY4YO6HQ","7CPGGNwHibzQtnERq7u2Hw","inside"
"108151","Texas Wagyu Cap Steak with Shimeji Mushrooms","-UXNBPD7rf7_5ze8Jl4A1w","a4L-Fy0agN3RNM7O49bIHA","food"
"153667","Mini golf / 10 points per person","3DZIMGrBpFZVKLBebb90Mg","Ql0iiHl2xpIwtkuC255Wiw","inside"
"151894","","VQeF9iZl57nwQ2NLh3L_vQ","jhPMtXX93POYuVXbBCz4yg","drink"
"133332","","WD9Cmgcl7VWLuy7altnJwQ","wWuGa3OOQJro_XGe-GKBXA","food"
"145423","","imYT-RJgDJ5WS66kAUWhvA","CAStb1vB9y-QMQrt4PxEFA","food"
"61899","","sUXaqLBf4kT6t_QxFfXXbg","QKhAME4uxgrOn-Aq3OURUQ","outside"
"187009","","YmT64nvOUvr-DK1zHMXegQ","sHohToOaihgD2rMfSi8k6g","inside"
"190525","Such a gorgeous cup!! Latte - $4.50","lLg4G4w3iuclIDF1K-aUMQ","htQgj-ANQpZGpIpkkrEmyQ","drink"
"169874","BBQ SAlad http://jerusalem-shawarma.ca/","6sGdaJAnBvd-NXkhzTLW_w","kOVLottL8lBkJJKs9VQHWg","food"
"141838","","t_LV4TVhQH8_Mj3Ep-bEgw","r_BrIgzYcwo1NAuG9dLbpg","food"
"169067","","iet1kKhBpsO9Y9Np0JPwmw","ov2PTi0-3tJ8Yu_GRUyWMg","inside"
"5213","","Qj2SsY__vrsrC9zJfGa1jg","lZ8T7NFAo1JGAAopTV_OTQ","inside"
"104947","Front registers.","PZcUYhxqeIY-3z8vCDijyQ","mfQfNIb3TYeBSxsN1WD8eA","inside"
"46993","Mushroom Flatbread","QnbTfqO3DFlbfc9M_bb5Bw","A4zLP5AyKEEHQr_dWEZKig","food"
"56807","BeefBurritos-????","jpLwxyMbveSaxkkPwSdN3w","CPcy22Hd2F7z0EKG66FMRA","food"
"59749","","xhRfj6y2_FdSWKlMs7gKcg","ALkOqlWODyxPg5VSp0HLrg","food"
"63096","They have renovated","CfB_1yr8vkWZyWvgKyPLJQ","56Ll9rqG2WxXj4X2pmlkHQ","inside"
"94381","All this and break feast and pies","MtfYt1MhuTR5zi1I1lb3sw","qQvHYQ1uocuEnFcUdhxV_g","menu"
"198386","Decadent terrine with the slightest coating of fat, served with roasted apples and buckwheat waffle.","-lYza--mmIg73T30YR7DZQ","mnn--vaYHtNyBNYFYBFIog","food"
"134683","","DXzI_UBTFqUTJY2_A2DT7w","CLJVMy0DYLfG80B5n-sg2A","drink"
"135488","McDonald's Chicken & Fish Menu Items","XgYTDiwjm3weeB-YQphPOA","qEWoqy5LGDsdr22R3Px8Pg","food"
"144210","","aPF3qGUVQ1h39JHzhEu89A","_zwYQHInNJRriac_D767fQ","inside"
"58742","","jvK6H0LRYeVu8wwKOh6gdg","YnmtUJGqQIQL9tz1MRyfqA","food"
"37034","","509n9Nl80TxzYrROK5Raeg","9ismhhkIPREHOo8tJi0ETA","food"
"197698","Back bar area w/singer-looked like a cool chill area.","w5qMG_C5RjkoNEfE7-tgtg","IWN2heYitkg-D4UdqfxcMA","inside"
"182769","","JGL-Wj-ou9mIP4pTLeVw7g","rQO6-KfH2B_FxNrs6aIbYg","menu"
"73112","Best breakfast spot on the strip!","5xbrzh8t1MFTaylMOFuy8w","4JNXUYY8wbaaDmk3BPzlWw","food"
"47420","Outside bar","v97i8oWpdfg4lne67FtpXQ","PbyqDJf815zRn-7p6vYpAQ","inside"
"194154","","GODRLGAYOnn1KeQukcrpuw","mD3eTatk9hgxi2iN3LZR3g","food"
"1610","Lumpia","Ay6xQMH61yvtfCCtENc5TQ","mIZRTk10-YmWRVaxhC1hjg","food"
"190428","","fLQjc2tGjIvsZGpvP-su_w","khb_lj7jgCzi3akuxMyEdg","drink"
"42392","MOOYAH Burger with cheese, bacon, avocado, fried onion strings, and hand-cut french fries","rwR3nxNBeA2A-2voBLw_ew","IfKJC-1YOcDjpP2Toy0NTg","food"
"151425","","sUynzzVbBSLWIxJNTCZ1Hw","LUDX--wfStrKavGyitk4nA","inside"
"76638","Chicken Egg Rolls","-Wtyx5kQE_5Q4mnbiJXcOg","DI6WQYe8tSigjzlmMYMpkw","food"
"85120","Dulce De Leche Cheesecake","bo-RNydEk4hgOyH-LScREA","-Ylpy3VyRWwubf9dysuwjQ","food"
"114897","","t8pkZ26x5DF2j2xwR1V5HQ","8itGZAOBMiTbHKOwLuh4_Q","food"
"185250","","ECOz_HRaZUF6w6BhacAvUg","FVMsFMfPkzQn7bLXZ8d6aA","food"
"100979","Mmm","J4-eGQ70Rp5tSrk-7Jv-TQ","iIwKW2cBAxjElE8eUzjwqA","food"
"1388","","dE4k0Q2RIQgCNr3KCmik6g","yA8iKH7GNFzA8jgyvjAg3g","inside"
"110107","Scallop aburi sushi","fd9GOI45YJax0eKu-y2icw","Ro-_PAzq-Rdxl5JhM3WmoA","food"
"100698","","YdtxREwnkGzOTGdg6wNqVA","fYTfTGqseS7rJk9AMt2zvw","food"
"157901","Bubble tea ice cream - came with liquid nitrogen in the plate underneath it!!!","Lix4rIoinSz-Mm0wy2GzzA","0S46SVEicJjWzqMOI95DgQ","food"
"34940","Osso Buco - Veal shank braised in a red wine reduction","Z2H8PrZlFvQZUlbELDcHcA","DESv2ys6SjBKA4SyDtJvxw","food"
"119142","","mW12uzj_3A_NNmwh5ZSZUw","IqCvkoDvvImXuzGrpeiDMA","inside"
"138994","Milkshake bar!","xzX0oTX4JSR2OewRYaCKlA","TmIucPRTngutrjDpC0nXgQ","inside"
"94537","Really good restaurant","SyPW6GBPh6ngYd5lGKRuGg","UiUZfYqkfv61VXoe2s2ylw","food"
"36380","","j0HnNTTv0rQBPdh3jNAXmw","89uU51kOiQXbJHVA3C6XMQ","outside"
"41896","","Wzi0wZ3MQZia3ElNedrwag","Hw7DRto7wHg3qz0RQ2t4KQ","food"
